13,1,1
11,1,1
15,24,1
26,0,1
12,5,1
6,15,1
27,9,1
22,3,1
31,10,1
31,20,1
29,26,1
10,6,1
5,9,1
18,6,1
21,3,1
20,0,1
12,4,1
26,8,1
20,3,1
27,13,1
16,7,1
13,22,1
8,2,1
25,14,1
26,3,1
3,2,1
24,13,1
18,3,1
18,0,1
12,14,1
26,4,1
23,16,1
8,18,1
3,1,1
0,0,1
16,8,1
1,0,1
15,29,1
9,11,1
2,1,1
7,1,1
6,12,1
22,4,1
29,30,1
30,15,1
14,1,1
30,2,1
22,8,1
15,10,1
25,5,1
21,2,1
31,25,1
29,4,1
20,6,1
5,17,1
31,28,1
17,21,1
21,12,1
2,0,1
4,0,1
25,27,1
4,1,1
24,11,1
10,7,1
17,9,1
3,0,1
28,7,1
19,5,1
17,19,1
31,23,1
2,2,1
11,0,1
