0,internet,7
1,musique,6
2,logiciel,5
3,électronique,4
4,web,4
5,code créatif,4
6,image,4
7,modulaire,3
8,communication,2
9,processing,2
10,linux,2
11,féminisme,2
12,computer,2
13,fablab,2
14,machine learning,2
15,3D,2
16,impression 3D,2
17,synthèse sonore,2
18,audio,2
19,algorithme,2
20,art,2
21,pure data,2
22,interaction,2
23,communauté,2
24,graphisme,2
25,hardware,1
26,intelligence artificielle,1
27,récupération,1
28,serveur,1
29,trucage,1
30,bricolage,1
31,circuit bending,1
32,cyberespace,1
33,cyberféminisme,1
34,hébergement,1
35,arduino,1
36,jeu vidéo,1
37,hacker,1
38,gimp,1
39,photo,1
40,html,1
41,markdown,1
42,python,1
43,mail,1
