25,3,1
35,9,1
19,0,1
28,0,1
11,11,1
39,0,1
7,3,2
2,3,1
16,1,1
17,4,2
2,2,1
33,1,1
0,8,1
1,11,1
12,6,1
1,4,1
30,3,1
4,9,1
3,7,1
40,0,1
4,2,1
29,3,1
20,0,1
0,10,1
24,3,1
5,2,1
32,12,1
38,3,1
2,6,1
15,2,1
16,0,1
22,0,1
10,7,1
8,8,1
36,0,1
31,7,1
0,13,1
34,3,1
26,0,1
5,5,2
3,2,1
8,3,2
12,2,1
3,6,1
6,14,1
23,0,1
0,14,1
10,0,1
0,5,1
11,0,1
2,1,1
2,12,1
3,10,1
1,3,2
0,3,1
4,4,1
21,11,1
1,5,2
27,3,1
3,3,1
4,6,1
7,8,1
14,5,2
12,11,1
37,7,1
15,1,1
0,1,3
6,0,2
13,3,2
0,9,1
1,2,1
18,13,1
9,0,2
2,10,1
