7,13,1
23,34,1
8,1,1
18,4,1
17,0,1
9,15,1
10,26,1
0,38,1
18,35,1
24,6,1
13,15,1
13,2,1
4,11,1
8,0,1
12,0,1
7,24,1
5,4,1
5,17,1
24,16,1
4,20,1
21,17,1
1,31,1
0,13,1
22,16,1
12,3,1
2,14,1
13,0,1
8,5,1
24,9,1
1,37,1
15,18,1
6,1,1
17,6,1
25,3,1
16,28,1
7,29,1
13,33,1
7,7,1
6,21,1
7,2,1
22,0,1
10,40,1
16,39,1
14,0,1
0,30,1
16,19,1
25,12,1
3,2,1
25,2,1
23,27,1
2,5,1
1,3,1
6,12,1
7,3,1
10,10,1
3,32,1
21,1,1
18,0,1
9,1,1
12,2,1
0,8,1
7,1,1
8,14,1
11,7,1
7,25,1
0,7,1
2,1,1
15,0,1
4,23,1
20,6,1
25,4,1
20,9,1
19,5,1
6,11,1
7,8,1
11,0,1
16,36,1
4,22,1
11,8,1
1,10,1
0,1,1
0,0,1
