0,"Ardour, logiciel de station audionumérique"
1,"Capteurs, visualiser les données"
2,"Mode, technologie et industrie"
3,Fabrication de tampons DIY
4,Emoji Parade
5,Le jeu vidéo dans la société actuelle
6,"Typographie, histoire des techniques 2"
7,"Haut-parleur, le retour"
8,Patronage avec Seamly2D
9,Icônomania
10,Géolocalisation et cartographie
11,Le vocoder
12,KiCAD
13,Inkscape
14,Avatar 5 (SgAnimator)
15,Syncthing
16,Les littératures de l'imaginaire
17,Les algorithmes de décision judiciaire
18,T'as ton code
19,Se défiler du travail
20,Deepfakes
21,(En attendant) GODOT
22,Le Generative Pre-trained Transformer 3 (GPT-3) d'OpenAI 
23,La méthode scientifique
24,Machine Learning
25,Humanlabs et Fablabs
