0,emoc,5
1,Gweltou,3
2,Laure,3
3,6ril,3
4,Jumbef,2
5,Rozenn,2
6,Perrine,1
7,Norbert,1
8,ortie,1
9,Collectif,1
10,Mitoufflon,1
11,Guimel,1
12,Maëlle,1
13,Fanch,1
14,Laska,1
