0,logiciel,10
1,art,7
2,DIY,5
3,électronique,4
4,communauté,3
5,textile numérique,3
6,algorithme,3
7,audio,3
8,musique,3
9,machine learning,2
10,cartographie,2
11,graphisme,2
12,impression 3D,2
13,synthèse sonore,2
14,e-textile,2
15,image,2
16,intelligence artificielle,2
17,jeu vidéo,2
18,computer,1
19,science fiction,1
20,unicode,1
21,Histoire,1
22,émoticône,1
23,emoji,1
24,interactif,1
25,démontage,1
26,gps,1
27,méthodologie,1
28,littérature,1
29,bricolage,1
30,linux,1
31,détection,1
32,féminisme,1
33,cnc,1
34,science,1
35,code   ,1
36,fantastique,1
37,arduino,1
38,audacity,1
39,fantasy,1
40,géolocalisation,1
