32,0,1
8,5,1
1,1,2
10,0,2
24,3,1
14,2,1
1,0,3
2,5,1
43,0,1
34,1,1
29,4,1
40,4,1
1,2,1
26,0,1
15,4,2
0,4,1
13,1,1
12,0,2
12,4,1
19,1,1
1,3,1
25,0,1
0,2,1
32,3,1
40,0,1
11,4,2
27,6,1
2,4,1
4,2,2
5,2,2
16,2,1
37,1,1
7,0,3
24,2,1
6,0,2
8,0,3
23,2,1
38,0,1
16,3,1
18,1,1
36,0,1
34,0,1
28,6,1
43,5,1
26,4,1
17,3,1
35,2,1
15,0,1
0,3,1
33,4,1
10,5,1
3,2,3
33,0,1
21,0,1
9,3,1
4,6,1
3,3,2
41,1,1
10,4,1
12,5,1
2,0,4
0,0,4
20,1,1
14,3,2
5,6,1
13,0,1
30,0,1
31,0,1
39,1,1
4,3,2
11,0,1
23,3,1
6,1,1
22,0,1
17,0,1
0,5,1
42,1,1
9,2,3
39,0,1
6,5,1
14,0,1
