25,0,2
10,8,2
8,43,2
39,34,2
37,1,2
35,9,2
14,4,2
8,2,6
10,15,2
22,7,2
10,0,4
4,0,2
1,0,2
2,26,2
33,26,2
12,43,2
4,5,2
3,9,4
1,13,4
24,9,2
6,34,2
0,2,4
0,30,2
10,11,2
25,30,2
1,36,2
10,22,2
10,30,2
27,4,2
2,7,4
11,15,4
12,33,2
10,6,2
14,17,2
31,7,2
25,2,2
1,3,2
31,0,2
20,41,2
0,33,2
35,5,2
10,25,2
30,7,2
9,5,4
10,2,2
8,7,4
38,31,2
37,13,2
43,2,2
38,0,2
1,39,2
23,4,2
24,4,2
0,3,2
14,32,2
1,16,2
6,31,2
16,3,2
23,16,2
12,26,2
12,8,2
18,19,2
32,17,2
8,30,2
25,22,2
1,4,2
28,5,2
12,2,4
23,0,2
14,3,2
22,30,2
39,6,2
14,23,2
25,8,2
22,2,2
33,2,2
4,9,2
3,5,2
22,0,2
10,7,2
11,29,2
15,29,2
14,0,2
6,38,2
6,0,4
1,6,2
42,19,2
4,28,2
11,40,2
23,3,2
10,40,2
38,7,2
0,8,2
4,16,2
1,34,2
27,28,2
0,7,4
42,18,2
6,7,2
1,23,2
30,2,2
0,16,2
14,16,2
12,0,2
27,5,2
4,3,4
14,1,2
24,3,2
40,15,2
22,8,2
25,7,2
0,26,2
