0,"Typographie, histoire des techniques 1"
1,"Clavardage : you've got a message : IRC, Discord, Mastodon..."
2,Initiation au code créatif et au livecoding
3,"Décryptage : le RGPD, qu'est-ce que c'est"
4,"Voxels, du pixel art en 3D"
5,Livecoding avec Foxdot et Troop
6,Voyage dans l'ExSitu - BackUp
7,Textile et tricot numérique
8,"Darkweb, deepweb"
9,Datamoshing et déformation de l'image numérique
10,Culture féministe dans un monde de geek
11,Microphone vs. Haut-Parleur
12,Computer Vision et Reconnaissance faciale
13,"Pixel art, histoire du petit carré"
14,"Transhumanisme, humain, post-humain"
15,"Les données de la santé, la santé des données"
16,Jeu vidéo non-sexiste
17,Séance de désenvoûtement numérique
18,"Krita, le dessin numérique"
19,Les clés du chiffrement
20,Numérique et handicap
21,Musique électronique avec Orca et Sonic Pi
